x,y,z
-25,66,4
-22,72,0
-21,74,-1
-19,76,-3
-18,74,-4
-19,71,-3
-18,69,-3
-20,64,-1
-20,62,1
-19,55,0
-20,57,2
-21,57,8
-22,54,7
-22,56,8
-21,56,8
-20,57,7
-21,58,7
-19,63,5
-18,77,5
-19,75,6
-22,67,10
-23,61,12
-22,50,15
-20,48,13
-21,63,13
-21,66,13
-20,70,11
-22,70,12
-25,65,13
-26,63,12
-25,62,16
-24,57,15
-24,56,15
-25,57,15
-26,56,18
-26,56,19
-24,57,22
-27,60,24
-26,61,25
-24,57,22
-25,58,21
-28,57,16
-27,54,13
-23,76,18
-20,85,17
-13,84,11
-17,83,9
-22,64,5
-24,60,4
-25,64,0
-21,68,0
-22,76,-2
-24,80,-2
-19,72,-2
-18,67,-3
-21,59,-1
-28,55,2
-27,50,3
-27,47,5
-28,49,6
-31,45,8
-32,46,10
-32,46,13
-31,48,14
-26,50,13
-26,51,13
-26,52,12
-24,55,9
-19,77,10
-19,88,9
-17,77,7
-21,69,9
-28,56,14
-23,59,8
-23,67,7
-21,75,10
-18,69,7
-20,68,7
-21,64,9
-25,58,7
-26,56,6
-22,54,10
-22,55,11
-23,54,14
-25,53,16
-26,52,19
-27,56,20
-27,62,21
-26,66,21
-23,65,19
-23,66,17
-25,75,13
-24,75,10
-24,74,9
-25,63,8
-25,53,6
-25,53,2
-26,61,0
-27,76,0
-26,84,-3
-20,85,-3
-15,77,-4
-14,65,-2
-16,65,-1
-20,65,0
-19,63,0
-16,55,2
-14,54,3
-11,54,4
-12,53,6
-13,55,7
-14,61,7
-16,64,8
-19,65,11
-15,68,9
-12,87,6
-16,87,8
-20,74,14
-24,69,18
-23,54,21
-22,52,20
-22,64,17
-21,69,17
-19,70,18
-20,67,17
-23,60,18
-24,57,18
-24,56,18
-22,57,17
-23,56,17
-24,54,19
-24,53,20
-23,51,21
-23,49,20
-25,49,18
-25,50,19
-23,51,18
-23,54,17
-23,57,15
-22,56,12
-24,74,10
-26,78,10
-24,81,9
-26,75,11
-24,60,10
-23,71,6
-25,81,7
-18,82,6
-14,82,5
-13,77,6
-14,72,7
-16,62,4
-18,58,5
-17,53,7
-17,50,7
-19,48,6
-21,47,7
-25,45,6
-26,44,7
-27,48,10
-27,56,7
-26,59,7
-29,65,7
-28,66,7
-25,79,-2
-26,88,-2
-28,85,4
-27,77,6
-27,57,7
-26,51,9
-26,62,4
-26,67,4
-19,74,8
-17,72,8
-20,63,11
-22,60,13
-22,55,12
-21,55,13
-18,54,16
-18,54,15
-22,51,14
-24,50,16
-23,48,13
-23,47,13
-25,49,13
-27,51,10
-27,53,8
-28,57,6
-30,59,6
-28,68,5
-29,72,4
-30,75,4
-30,70,4
-30,63,4
-27,67,3
-20,80,2
-17,85,2
-14,80,3
-14,70,3
-15,69,7
-14,65,3
-15,62,5
-19,60,9
-21,60,9
-25,58,13
-25,56,14
-25,49,15
-27,45,13
-29,47,12
-29,49,10
-24,56,5
-22,61,3
-23,69,-2
-20,76,-5
-21,94,-6
-23,84,-6
-24,67,-4
-28,57,4
-26,52,7
-19,56,7
-15,60,8
-12,62,10
-13,62,13
-20,59,16
-20,57,16
-22,55,19
-24,55,19
-24,54,19
-22,54,19
-19,50,17
-22,47,17
-24,53,17
-25,55,15
-26,65,10
-26,79,8
-26,84,10
-24,72,6
-26,72,6
-31,62,8
-29,57,6
-28,60,2
-29,67,4
-25,84,5
-20,86,3
-15,76,3
-14,71,2
-19,73,3
-22,74,3
-20,70,2
-18,65,3
-16,59,6
-16,57,7
-16,52,10
-13,57,10
-13,59,9
-14,59,8
-17,60,6
-19,63,5
-17,67,5
-13,74,2
-15,74,2
-20,67,9
-20,58,11
-16,45,9
-16,49,9
-21,60,9
-23,65,9
-23,70,12
-24,70,15
-24,63,14
-26,61,13
-28,62,20
-24,62,13
-26,63,13
-26,62,17
-26,59,18
-28,53,19
-29,52,18
-32,57,19
-32,63,21
-27,67,20
-24,68,19
-21,70,15
-21,72,13
-20,71,10
-22,71,7
-26,65,6
-27,55,6
-21,57,4
-26,68,-1
-30,74,-4
-31,80,-6
-26,78,-5
-16,69,-1
-16,67,3
-21,65,5
-22,64,5
-21,58,8
-22,55,10
-17,51,10
-15,50,12
-14,47,13
-13,52,13
-16,60,9
-20,61,8
-20,62,8
-17,69,6
-16,78,4
-19,78,8
-23,71,11
-21,47,16
-22,51,15
-26,61,16
-24,66,18
-21,75,17
-20,71,19
-20,58,21
-21,56,18
-25,55,17
-26,55,16
-25,58,11
-26,59,12
-25,59,18
-26,57,19
-26,52,20
-26,55,20
-25,57,19
-23,66,18
-21,71,18
-16,73,15
-18,77,14
-23,75,8
-23,71,9
-23,51,5
-23,46,6
-26,55,1
-29,63,-1
-32,77,-5
-31,81,-4
-19,77,-3
-14,69,-3
-25,64,2
-25,63,3
-22,64,4
-18,60,7
-17,58,8
-15,58,9
-15,58,10
-14,60,11
-15,64,10
-15,69,9
-17,68,9
-15,71,7
-14,77,6
-14,72,8
-15,67,11
-18,62,14
-18,57,14
-20,50,19
-20,47,14
-19,61,12
-19,70,16
-19,67,13
-22,64,12
-25,61,13
-24,57,14
-22,56,14
-25,57,12
-27,57,9
-32,56,9
-31,54,12
-27,44,13
-26,44,13
-28,52,13
-26,52,9
-24,64,4
-24,79,6
-24,88,6
-24,83,5
-25,74,5
-21,55,6
-21,58,4
-23,71,6
-21,77,5
-17,77,1
-15,73,0
-17,68,2
-16,67,4
-16,61,1
-16,58,1
-15,58,5
-15,56,2
-15,55,1
-18,55,3
-18,56,0
-17,60,-2
-18,65,-2
-19,64,-1
-20,63,-2
-20,68,-4
-20,77,-5
-20,86,-1
-20,81,1
-21,64,4
-22,55,8
-23,54,8
-24,56,7
-25,63,10
-22,66,12
-18,65,14
-19,62,16
-23,56,15
-21,54,15
-19,54,15
-19,54,13
-20,55,12
-21,55,11
-22,55,12
-20,53,11
-21,52,11
-21,49,11
-22,52,11
-22,55,11
-22,58,9
-21,70,4
-22,78,2
-24,85,3
-23,85,3
-16,69,8
-12,52,0
-26,53,-1
-47,75,0
-37,79,-2
-19,67,-3
-12,65,-1
-8,75,10
-9,77,9
-18,74,3
-21,71,5
-19,61,3
-19,56,5
-20,48,8
-21,48,8
-20,53,8
-18,57,7
-17,66,4
-17,66,3
-19,68,1
-18,75,-4
-21,84,-7
-19,71,-2
-20,67,-3
-28,58,7
-27,54,10
-24,53,11
-16,53,11
-8,59,11
-10,62,12
-19,70,15
-22,67,15
-20,61,16
-20,58,18
-18,53,20
-16,51,20
-16,54,20
-17,55,19
-20,55,19
-21,53,19
-22,52,18
-24,57,18
-24,59,18
-21,65,16
-19,70,14
-23,75,13
-23,73,11
-25,73,9
-25,66,8
-26,52,5
-27,53,3
-29,64,-1
-32,73,1
-26,88,-2
